area,plot_id,cultivar,longitude,latitude
0.58,05A,masena,31.27198987,-17.74854987
1.17,05B,masena,31.27374924,-17.74877639
0.94,6,masena,31.27174361,-17.74799136
0.57,G1A,masena,31.27390597,-17.74827867
0.62,G2A,masena,31.27143237,-17.74686402
0.61,G3A,masena,31.27154431,-17.74634421
0.54,P1,masena,31.27170294,-17.74583132
0.46,P2,masena,31.27121505,-17.75063997
1.28,7,eureka,31.27205539,-17.75121677
1.47,10,eureka,31.27235155,-17.75083671
1.5,11,eureka,31.27272165,-17.75044483
1.39,12,eureka,31.27301202,-17.7500488
0.45,G1A EX,eureka,31.27335606,-17.7496397
0.62,G1B,eureka,31.27176629,-17.75213702
0.62,G2B,eureka,31.27207568,-17.75168939
